id,name,location,latitude,longitude,rating,priceCategory,type,img,link
95912,Auberge du Cheval Blanc,Westhalten,47.956665,7.2603869,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c57540112e2748889dc28635f54bbaef.jpeg,https://guide.michelin.com/us/en/grand-est/westhalten/restaurant/auberge-du-cheval-blanc9661
95911,Sushi Yoshinaga,Paris,48.8698375,2.3349558,1,4,Japanese,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8596e69903f146af9921398045639388.jpg,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/sushi-yoshinaga
95909,Maison Renard,Béthune,50.532338,2.64074,0,3,Modern Cuisine,,https://guide.michelin.com/us/en/hauts-de-france/bthune/restaurant/maison-renard
95908,Le Bistrot du Brau,Eygalières,43.7537173,4.9598511,0,2,Traditional Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c45003f4d7d34f40a37ad7e8a71b0918.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/eygalires/restaurant/le-bistrot-du-brau
95907,Delicatessens,Gourdon,44.7381359,1.4019153,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ecada1a3c1cc4970af722203768e217f.jpeg,https://guide.michelin.com/us/en/occitanie/gourdon/restaurant/delicatessens
95906,Le 49R,Lille,50.6401888,3.0577432,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3d37a59e03574b67b3a7e94c47776ac9.jpeg,https://guide.michelin.com/us/en/hauts-de-france/lille/restaurant/le-49r
95905,Isolé,Montreuil,48.8610649,2.4446349,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5355f97b2204473e8d485e7b5d7e7337.jpg,https://guide.michelin.com/us/en/ile-de-france/montreuil-ile-de-france/restaurant/isole
95904,Baca'v - Boulogne,Boulogne-Billancourt,48.83182,2.2383199,0,2,Traditional Cuisine,,https://guide.michelin.com/us/en/ile-de-france/boulogne-billancourt/restaurant/baca-v-boulogne
95903,Maison Rosella par Francesco Di Marzio,Port-Lesney,46.9990085,5.8239441,1,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/14dba254b1d9410186ff1e5b76091154.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/port-lesney/restaurant/maison-rosella-par-francesco-di-marzio
95902,Ginko,Lille,50.6353027,3.0600982,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/246e8e894a014c64a080a1c3dc87d709.jpeg,https://guide.michelin.com/us/en/hauts-de-france/lille/restaurant/ginko
95901,Maison Zugno,Barretaine,46.8174742,5.7392942,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5f8a9b69c2194494b726daa765bd77c5.jpeg,https://guide.michelin.com/us/en/bourgogne-franche-comte/barretaine_1526247/restaurant/maison-zugno
95900,La Petite Verrière,Le Puy-Sainte-Réparade,43.6623752,5.4337575,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/856a57b9b82b407d8d0006f8cb4c6ae6.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/le-puy-sainte-rparade/restaurant/la-petite-verriere
